,x,y,z
0,1.0,1.0,1.0
1,1.0031939352694057,1.1298528256383766,0.9920503028436105
2,1.0125682144575339,1.2599461029205918,0.9848896939060191
3,1.0278532054339085,1.3910891081045222,0.9785589125179437
4,1.0488309627255084,1.5240544890484802,0.9731123483393757
5,1.0753310757553114,1.659584889660465,0.9686179286372771
6,1.1072270350846243,1.7983989912243956,0.9651573543414537
7,1.1444331142733901,1.9411969516066656,0.9628266562210227
8,1.1869015564931873,2.0886655576818813,0.9617370386383126
9,1.2346202197039486,2.2414828434794956,0.9620160291447966
10,1.2876104393389236,2.4003224702195842,0.9638088259725811
11,1.3459253811381655,2.5658575504310814,0.9672800804859983
12,1.409648551959531,2.7387642816402953,0.9726158802151924
13,1.4788924735424867,2.919725369495061,0.9800259965087338
14,1.5537976864459335,3.1094330278225453,0.9897465388958634
15,1.6345319393217244,3.3085917085584766,1.0020429393396413
16,1.7212895252199356,3.5179205699026417,1.0172133054806698
17,1.8142907315922285,3.7381556758829886,1.0355922022923947
18,1.9137814593673719,3.9700518369620816,1.0575548683294929
19,2.020032929536325,4.214384127015468,1.0835219218012095
20,2.133341457496969,4.471949007657514,1.1139646155851683
21,2.2540282936323597,4.743565016692776,1.1494106560396264
22,2.382439493899199,5.030072964584983,1.190450645158421
23,2.518945786859935,5.332335527095372,1.237745214105062
24,2.6639424094177895,5.651236150516384,1.2920328765971822
25,2.8178488879101566,5.987677176754805,1.3541386411946912
26,2.98110870898526,6.342577002333004,1.4249834547989975
27,3.1541888321211906,6.716866077030578,1.5055945014124932
28,3.3375790174437374,7.111481642824747,1.597116356852776
29,3.531790888337192,7.527360907355102,1.7008230485262006
30,3.7373566400053306,7.965432297088983,1.818130987528174
31,3.954827361877363,8.42660467205112,1.9506127139414517
32,4.184770857719154,8.91175405331032,2.1000114185249963
33,4.42776881803562,9.421707310620869,2.268256050028295
34,4.684413284404098,9.957222607592906,2.457476823348814
35,4.955302255469971,10.518966054094049,2.6700209052713544
36,5.241034234895162,11.107483866580068,2.9084678130874435
37,5.5422015382461645,11.72316947145293,3.1756438756066725
38,5.859382246746212,12.366225263410128,3.474635399351768
39,6.193130546073305,13.036618212814446,3.808799475975726
40,6.543965134733583,13.734028483623087,4.181771161887989
41,6.912355583557928,14.457791095768805,4.59746601287471
42,7.29870629538278,15.206829859545211,5.060076052241468
43,7.703337845665989,15.979583597173804,5.574057287368961
44,8.126465444989355,16.773924768165195,6.144106452748358
45,8.568174308019724,17.587071046900512,6.775124282241062
46,9.028391757704451,18.415491015181924,7.472162272310422
47,9.50685597502131,19.254805960105376,8.24034944490263
48,10.003081466906131,20.09969037740804,9.084796347690379
49,10.516321388211573,20.943775492935803,10.010471841481525
50,11.045527190662478,21.779560913647927,11.022050327595817
51,11.589306262659315,22.598341391321785,12.123726477469951
52,12.145878608124518,23.39015715419453,13.318996226820019
53,12.71303399828123,24.14377790867893,14.610404330038714
54,13.288091495274749,24.846732017490822,15.999261249580789
55,13.8678637388447,25.48539332788142,17.48533533471843
56,14.448628888972125,26.04513833674447,19.066530193628044
57,15.026113577820722,26.51058546779554,20.73856174472824
